regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
64,0.08352662507194812,20.993257062299286,1.7534959116816995,-0.8316307182129348,alto,bajo,bajo,bajo,bajo,bajo,bajo,11.912792379908094,4.824109533724759,-7.082419703887106,3.924694683390922,-13.195348704956704,1.2271111047373322,5.801004311627034
66,0.07404446991736167,15.909338551475395,1.1779985397798423,1.1430868789604123,alto,bajo,bajo,bajo,bajo,alto,bajo,8.283061571372427,3.3761205643029975,-7.927536676963306,2.9552547458832183,-9.022205672823334,1.6067313130666345,4.028890341021379
74,0.06103596006943286,14.085383681962629,0.8597149159749122,1.4470482828159632,alto,bajo,bajo,alto,bajo,alto,bajo,1.1736226480906258,6.748092401541494,-6.726104094848424,6.494405291287744,-6.293696988111179,-2.618044664471803,-3.9379420424725917
72,0.05171578179624773,12.233635725828467,0.6326720357717257,2.2172672835135443,alto,bajo,bajo,alto,bajo,bajo,bajo,4.257992100964056,3.791744144491524,-8.741705946307679,3.834862435662241,-4.538784200140727,0.5383885053817806,-0.47300267042622224
75,0.05971729382292117,10.138659544035193,0.6054533109617136,-0.9456485629647658,alto,bajo,bajo,alto,bajo,alto,alto,-4.002575682950875,0.9794992191117886,-7.898709447836762,0.8206701508009546,4.475777634812025,1.1185884970934188,0.7557772339477146
79,0.15305718878017036,3.7911914278228744,0.5802691020700493,0.8456256385433081,alto,bajo,bajo,alto,alto,alto,alto,2.2786270766963224,0.4200543943365227,2.350222067504643,0.22331728755201408,0.6909185532513755,-0.19675160612899217,1.4832291305574197
77,0.06321101100334603,9.167360917609107,0.5794781518346336,0.512009347266483,alto,bajo,bajo,alto,alto,bajo,alto,-1.8156472085655353,0.9881152183685764,0.5990738385527503,0.9410716973481155,-7.111676054731675,0.49918849835763845,-5.2379170748829935
78,0.052423658611094374,8.98782970770613,0.47117491625143826,0.9833072054866757,alto,bajo,bajo,alto,alto,alto,bajo,5.008175676084623,3.1553930429700063,-1.009210687908894,3.177653513185428,-1.2011784825605265,-0.2736072943316221,5.669407568281409
67,0.04912784091009316,9.025941993223832,0.44342504230682955,0.4492688365813773,alto,bajo,bajo,bajo,bajo,alto,alto,-6.290291546359668,0.9745684918608459,-5.447824827117719,0.9045777668603494,-0.4967672752177758,0.31406560316626797,-3.1473423204203
73,0.044856881829542526,9.056102636007852,0.40622852577961277,-0.9241574605151529,alto,bajo,bajo,alto,bajo,bajo,alto,-5.107250890609272,1.8431190497423313,-6.356898151987897,1.6603347460846636,1.5650259617928748,-0.030658659444925518,-2.4618522808329577
65,0.04996772555593153,7.4111806128485185,0.3703198389082552,-0.0399624750383798,alto,bajo,bajo,bajo,bajo,bajo,alto,-3.800599751847832,0.8996465908896255,-5.383413033587059,0.755147447448471,-2.18595526696756,0.7326911556781287,-2.1916793328929973
