regla_idx,activacion_media,magnitud_parametros,importancia_total,bias,Contraste_condicion,ASM_condicion,Homogeneidad_condicion,Energía_condicion,Media_condicion,Entropía_condicion,Varianza_condicion,Contraste_parametro,ASM_parametro,Homogeneidad_parametro,Energía_parametro,Media_parametro,Entropía_parametro,Varianza_parametro
27,0.0017539302065461056,4029868428.2402363,7068107.964697028,-444766755.3010807,bajo,bajo,alto,alto,bajo,alto,alto,32563.968544795935,-2680454157.106961,42411.58285690479,2976102749.59536,-22970.81053561678,70685.09727886273,97067.69770054138
95,0.012108449495087117,340038710.7344507,4117341.555302634,37868374.058992445,alto,bajo,alto,alto,alto,alto,alto,641.7649827941786,227218766.1422075,-1341.0247596539994,-250127853.95754904,1491.8352851090458,-3892.3184310340584,-3448.7061410773167
30,0.0006894845280252255,4611898251.359785,3179832.4891391643,520562703.9872201,bajo,bajo,alto,alto,alto,alto,bajo,45045.81763277687,3077491925.0629644,73950.60014761734,-3395241214.4493384,-24365.74100984416,614631.9937779006,336341.78834650235
18,0.007741609275500908,381158986.01879203,2950783.941603601,-73267140.05935866,bajo,bajo,alto,bajo,bajo,alto,bajo,-48394.88021138805,-226074888.06573433,-38288.22527675016,298000389.09683466,-28365.043649128813,83050.214841871,-19611.995280165866
31,0.0009662998962107808,2730917318.9086637,2638885.1218216657,301285692.4593508,bajo,bajo,alto,alto,alto,alto,alto,-45962.953913212965,1822454500.3573725,-56765.006634489895,-2011416311.073754,40288.40520701902,-515396.15085816354,281632.69738393964
22,0.005750301350122468,355592705.7383795,2044765.215901105,71726157.02186759,bajo,bajo,alto,bajo,alto,alto,bajo,37184.96135803824,209191717.37174055,-15706.628546854947,-278460672.39803606,-23159.141580655065,33077.38665048074,82607.70373424678
50,0.00290663084138632,640868181.226524,1862767.220816172,168405616.186466,bajo,alto,alto,bajo,bajo,alto,bajo,66439.6084601985,463415049.2749221,77272.33306934702,-409387409.5076656,-13934.538169909232,12344.619579784252,-66751.61426655165
83,0.06454939592406664,28320654.793581236,1828081.1590996908,4502100.07561224,alto,bajo,alto,bajo,bajo,alto,alto,-294.19685484230286,17324713.973593056,-269.14535877341405,-21946408.997595213,-214.83137738145888,-354.14947108225897,-599.3863152100239
2,0.0015255632678130202,1187340349.3651536,1811362.8233837567,244215702.28820738,bajo,bajo,bajo,bajo,bajo,alto,bajo,159367.5497511649,696480489.9249923,-1001959.2369004542,-930075163.5806205,165917.04092665366,-2703581.4614174473,1595941.4949665747
66,0.003354069833339881,528309120.0321993,1771985.6821783378,-117665899.4058127,alto,bajo,bajo,bajo,bajo,alto,bajo,-103236.07133316991,-305325418.3725378,-465342.4153946666,414778722.91082466,98684.9944769431,-79645.8075073628,-138053.92160296094
